#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE54E
#Date Time: 2023-04-27 21:09:16.783
#Sample rate: 1.11111e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 2.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -2.5 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: -2.5 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -500 mV

Time (s),Channel 1 (V),Channel 2 (V)
0.01354649382844543,3.934571375824486,4.51258366933115
0.01354658382844543,3.934571375824478,4.508855404743475
0.01354667382844543,3.930865839371501,4.508855404743475
0.01354676382844543,3.934571375824451,4.512583669331146
0.01354685382844543,3.938276912277485,4.508855404743475
0.01354694382844543,3.938276912277485,4.508855404743475
0.01354703382844543,3.934571375824515,4.512583669331153
0.01354712382844543,3.938276912277485,4.508855404743495
0.01354721382844543,3.938276912277485,4.51258366933118
0.01354730382844543,3.930865839371535,4.508855404743499
0.01354739382844543,3.934571375824512,4.512583669331156
0.01354748382844543,3.938276912277481,4.508855404743478
0.01354757382844543,3.934571375824505,4.512583669331163
0.01354766382844543,3.930865839371549,4.508855404743505
0.01354775382844543,3.938276912277468,4.512583669331165
0.01354784382844543,3.930865839371515,4.505127140155794
0.01354793382844543,3.938276912277449,4.505127140155802
0.01354802382844543,3.9345713758245,4.508855404743488
0.01354811382844543,3.938276912277476,4.512583669331173
0.01354820382844543,3.934571375824516,4.508855404743505
0.01354829382844543,3.930865839371508,4.508855404743475
0.01354838382844543,3.934571375824484,4.508855404743475
0.01354847382844543,3.938276912277461,4.508855404743475
0.01354856382844543,3.938276912277434,4.508855404743475
0.01354865382844543,3.930865839371488,4.508855404743468
0.01354874382844543,3.930865839371488,4.501398875568096
0.01354883382844543,3.927160302918519,4.505127140155737
0.01354892382844543,3.930865839371496,4.501398875568068
0.01354901382844543,3.934571375824473,4.505127140155754
0.01354910382844543,3.930865839371523,4.508855404743439
0.01354919382844543,3.930865839371515,4.505127140155767
0.01354928382844543,3.938276912277468,4.505127140155767
0.01354937382844543,3.934571375824516,4.505127140155767
