#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE54E
#Date Time: 2023-04-27 21:05:03.602
#Sample rate: 1.11111e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 2.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: -2.5 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 50 mV/div Offset: -2.5 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 50 mV
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -500 mV

Time (s),Channel 1 (V),Channel 2 (V)
0.01334032478167859,2.420274717168722,2.444628402725288
0.01334041478167858,2.419601172957226,2.444967366188588
0.01334050478167859,2.419937945062972,2.444967366188587
0.01334059478167859,2.419937945062972,2.444628402725288
0.01334068478167858,2.419601172957224,2.444289439261988
0.01334077478167859,2.419937945062969,2.444628402725279
0.01334086478167859,2.419601172957225,2.443611512335387
0.01334095478167859,2.420274717168721,2.444289439261985
0.01334104478167858,2.419937945062975,2.44361151233539
0.01334113478167859,2.419937945062972,2.445306329651888
0.01334122478167859,2.419937945062972,2.444628402725289
0.01334131478167858,2.42027471716872,2.445306329651886
0.01334140478167859,2.419601172957227,2.444289439261985
0.01334149478167859,2.420274717168723,2.443950475798686
0.01334158478167858,2.420274717168723,2.444628402725285
0.01334167478167859,2.419937945062972,2.44428943926199
0.01334176478167859,2.419937945062972,2.444628402725288
0.01334185478167858,2.419937945062972,2.444289439261988
0.01334194478167859,2.420611489274469,2.443950475798695
0.01334203478167859,2.42027471716872,2.444967366188586
0.01334212478167859,2.419601172957224,2.443950475798689
0.01334221478167858,2.419937945062969,2.443950475798686
0.01334230478167859,2.419937945062975,2.445306329651886
0.01334239478167859,2.420611489274472,2.444289439261988
0.01334248478167858,2.420274717168725,2.444628402725286
0.01334257478167859,2.420274717168723,2.444628402725292
0.01334266478167859,2.420274717168723,2.445306329651891
0.01334275478167858,2.419601172957226,2.444967366188592
0.01334284478167859,2.42027471716872,2.445306329651883
0.01334293478167859,2.419937945062972,2.444289439261988
0.01334302478167858,2.419937945062972,2.444967366188586
0.01334311478167859,2.419937945062969,2.444289439261984
0.01334320478167859,2.419601172957222,2.443950475798687
0.01334329478167859,2.419601172957222,2.444289439261986
0.01334338478167858,2.420274717168717,2.44564529311518
0.01334347478167859,2.419601172957224,2.445645293115191
0.01334356478167859,2.419937945062972,2.445306329651891
0.01334365478167858,2.419601172957225,2.444967366188592
0.01334374478167859,2.419937945062971,2.444289439261993
0.01334383478167859,2.419601172957222,2.445306329651891
0.01334392478167858,2.419937945062971,2.443611512335395
0.01334401478167859,2.420611489274468,2.444628402725291
0.01334410478167859,2.419937945062972,2.444967366188588
0.01334419478167858,2.419601172957224,2.44428943926199
0.01334428478167859,2.420611489274469,2.445306329651884
0.01334437478167859,2.420274717168724,2.444628402725286
0.01334446478167859,2.420611489274472,2.443950475798688
0.01334455478167858,2.419937945062979,2.444289439261984
0.01334464478167859,2.419601172957222,2.444289439261987
0.01334473478167859,2.419601172957222,2.444289439261987
0.01334482478167858,2.41993794506297,2.444628402725286
0.01334491478167859,2.420274717168721,2.443611512335387
0.01334500478167859,2.419937945062972,2.443950475798686
0.01334509478167858,2.419937945062972,2.443950475798686
0.01334518478167859,2.42027471716872,2.443950475798681
0.01334527478167859,2.419937945062972,2.443272548872084
0.01334536478167858,2.419601172957224,2.443611512335383
0.01334545478167859,2.419601172957219,2.443950475798686
0.01334554478167859,2.419264400851474,2.443950475798687
0.01334563478167859,2.41993794506297,2.444289439261986
0.01334572478167858,2.419264400851479,2.442933585408795
0.01334581478167859,2.419264400851473,2.444289439261987
0.01334590478167859,2.419264400851473,2.444289439261987
0.01334599478167858,2.41960117295722,2.443950475798689
0.01334608478167859,2.419601172957224,2.444289439261985
0.01334617478167859,2.419937945062972,2.443950475798686
0.01334626478167858,2.420611489274469,2.445645293115182
0.01334635478167859,2.420274717168723,2.444628402725288
0.01334644478167859,2.420274717168723,2.44462840272529
0.01334653478167858,2.420611489274471,2.445645293115188
0.01334662478167859,2.419937945062978,2.444967366188589
0.01334671478167859,2.420611489274473,2.444967366188589
0.01334680478167859,2.420611489274473,2.444967366188589
0.01334689478167858,2.420274717168726,2.443950475798695
0.01334698478167859,2.420611489274471,2.444967366188591
0.01334707478167859,2.420274717168723,2.44530632965189
0.01334716478167858,2.42061148927447,2.444967366188592
0.01334725478167859,2.420611489274471,2.444967366188593
0.01334734478167859,2.420274717168723,2.445645293115192
0.01334743478167858,2.420274717168723,2.445306329651893
0.01334752478167859,2.420948261380218,2.444289439261995
0.01334761478167859,2.420274717168722,2.445306329651891
0.01334770478167858,2.419937945062974,2.445306329651891
0.01334779478167859,2.420274717168726,2.445645293115192
0.01334788478167859,2.420611489274472,2.445645293115192
0.01334797478167859,2.420274717168724,2.445645293115192
0.01334806478167858,2.420274717168723,2.444967366188596
0.01334815478167859,2.419937945062974,2.445306329651892
0.01334824478167859,2.420274717168722,2.445645293115192
0.01334833478167858,2.420274717168723,2.445306329651893
0.01334842478167859,2.420274717168721,2.444967366188593
0.01334851478167859,2.419937945062972,2.445645293115192
0.01334860478167858,2.42027471716872,2.445306329651893
0.01334869478167859,2.419937945062975,2.445645293115188
